Time,MaxTemp,AvgTemp,MinTemp,NormalMaxTemp,NormalMinTemp,RecordMaxTemp,RecordMinTemp,Precipitation,MonthlyCumulativePrecipitation,NormalPrecipitation
01/12/2019,40,35.2,30,48,37,70,9,0,0,3.95
02/12/2019,39,35.7,32,48,37,66,12,0.62,0.62,3.95
03/12/2019,38,33.9,32,47,36,69,9,0.34,0.96,3.95
04/12/2019,40,38.1,34,47,36,74,10,0,0.96,3.95
05/12/2019,43,39.9,38,47,35,70,13,0,0.96,3.95
06/12/2019,50,42.5,36,46,35,71,11,0,0.96,3.95
07/12/2019,38,35.7,32,46,35,75,10,0,0.96,3.95
08/12/2019,44,36.7,28,45,34,65,4,0,0.96,3.95
09/12/2019,56,47.8,41,45,34,66,7,0.17,1.13,3.95
10/12/2019,58,54.2,40,45,34,70,3,1.63,2.76,3.95
11/12/2019,40,35.2,32,44,33,64,6,0.43,3.19,3.95
12/12/2019,36,32.2,28,44,33,68,5,0.03,3.22,3.95
13/12/2019,47,42.6,33,44,33,67,8,0,3.22,3.95
14/12/2019,55,50.4,46,43,32,67,12,2.05,5.27,3.95
15/12/2019,48,43.9,38,43,32,68,6,0.09,5.36,3.95
16/12/2019,37,35.7,34,43,32,63,7,0,5.36,3.95
17/12/2019,36,34.4,33,42,32,62,1,0.5,5.86,3.95
18/12/2019,37,31.8,24,42,31,63,-1,0.48,6.34,3.95
19/12/2019,26,22.2,18,42,31,58,-1,0,6.34,3.95
20/12/2019,34,28,24,42,31,60,-4,0,6.34,3.95
21/12/2019,35,30.1,24,41,30,65,-1,0,6.34,3.95
22/12/2019,47,39.7,31,41,30,71,2,0,6.34,3.95
23/12/2019,57,47.3,38,41,30,66,-1,0,6.34,3.95
24/12/2019,47,42.8,36,41,30,72,6,0,6.34,3.95
25/12/2019,42,37.5,34,40,29,66,-1,0,6.34,3.95
26/12/2019,46,39.1,36,40,29,63,3,0,6.34,3.95
27/12/2019,54,50.3,43,40,29,63,6,0,6.34,3.95
28/12/2019,48,46.4,45,40,29,65,8,0,6.34,3.95
29/12/2019,44,40.5,39,39,28,70,-6,0,6.34,3.95
30/12/2019,43,40.8,39,39,28,65,-13,0.53,6.87,3.95
31/12/2019,39,38.5,38,39,28,63,-7,0.25,7.12,3.95
01/11/2019,65,50.1,43,59,46,84,30,0.2,0.2,4.36
02/11/2019,50,45.6,40,58,45,83,30,0,0.2,4.36
03/11/2019,52,47.8,44,58,45,79,28,0,0.2,4.36
04/11/2019,55,50.3,43,58,45,78,25,0,0.2,4.36
05/11/2019,61,56.7,51,57,45,78,23,0,0.2,4.36
06/11/2019,55,51.4,48,57,44,74,27,0,0.2,4.36
07/11/2019,58,50.6,42,57,44,78,29,0,0.2,4.36
08/11/2019,41,36.9,32,57,44,76,29,0.08,0.28,4.36
09/11/2019,41,36.3,30,56,44,75,24,0,0.28,4.36
10/11/2019,52,46.8,40,56,43,73,25,0,0.28,4.36
11/11/2019,61,54.8,49,56,43,74,24,0,0.28,4.36
12/11/2019,57,42.6,27,55,43,76,26,0,0.28,4.36
13/11/2019,34,29.7,25,55,43,73,24,0.02,0.3,4.36
14/11/2019,45,38.3,29,55,43,72,20,0,0.3,4.36
15/11/2019,51,45.4,38,54,42,80,20,0,0.3,4.36
16/11/2019,42,38,33,54,42,72,17,0,0.3,4.36
17/11/2019,44,38.8,31,53,41,71,19,0,0.3,4.36
18/11/2019,43,40.6,38,53,41,73,18,0.01,0.31,4.36
19/11/2019,48,44.4,41,53,41,72,18,0.62,0.93,4.36
20/11/2019,48,43.7,41,52,40,77,21,0,0.93,4.36
21/11/2019,53,47.1,40,52,40,74,16,0,0.93,4.36
22/11/2019,54,48.3,39,52,40,72,13,0,0.93,4.36
23/11/2019,45,41.2,36,51,40,72,14,0.07,1,4.36
24/11/2019,48,43.9,40,51,39,73,14,0.55,1.55,4.36
25/11/2019,53,47.3,41,50,39,73,19,0.19,1.74,4.36
26/11/2019,59,51.9,44,50,39,67,16,0,1.74,4.36
27/11/2019,58,53.5,46,50,38,72,12,0,1.74,4.36
28/11/2019,53,46.5,39,49,38,70,14,0.02,1.76,4.36
29/11/2019,42,36.6,32,49,38,69,15,0,1.76,4.36
30/11/2019,44,37.4,32,49,37,70,5,0,1.76,4.36
01/10/2019,82,72.7,64,69,55,88,36,0,0,3.85
02/10/2019,93,79.2,71,69,55,93,39,0,0,3.85
03/10/2019,68,58.3,54,68,54,87,38,0.32,0.32,3.85
04/10/2019,65,60.3,52,68,54,88,37,0.12,0.44,3.85
05/10/2019,60,53.6,46,68,54,94,35,0,0.44,3.85
06/10/2019,70,66.1,57,67,53,90,36,0,0.44,3.85
07/10/2019,78,69.8,61,67,53,88,39,0.01,0.45,3.85
08/10/2019,65,61.6,59,67,52,87,37,0.06,0.51,3.85
09/10/2019,61,56.3,53,66,52,86,37,0,0.51,3.85
10/10/2019,72,60.7,53,66,52,91,35,0.54,1.05,3.85
11/10/2019,65,60.1,55,65,51,85,34,0,1.05,3.85
12/10/2019,68,61.2,56,65,51,86,35,0,1.05,3.85
13/10/2019,67,61,57,65,51,87,34,0,1.05,3.85
14/10/2019,74,64.3,59,64,50,84,37,0,1.05,3.85
15/10/2019,65,59.1,54,64,50,84,32,0,1.05,3.85
16/10/2019,67,61.7,55,64,50,87,34,0,1.05,3.85
17/10/2019,59,55.7,53,63,50,90,33,1.71,2.76,3.85
18/10/2019,59,53.8,49,63,49,82,35,0,2.76,3.85
19/10/2019,62,53.7,47,63,49,85,30,0,2.76,3.85
20/10/2019,59,55.4,52,62,49,80,31,0,2.76,3.85
21/10/2019,67,57.8,52,62,48,84,31,0.37,3.13,3.85
22/10/2019,63,58.8,55,62,48,88,30,0,3.13,3.85
23/10/2019,66,61.3,57,61,48,85,32,0.51,3.64,3.85
24/10/2019,67,59.3,53,61,48,79,31,0,3.64,3.85
25/10/2019,67,59.5,54,61,47,79,29,0,3.64,3.85
26/10/2019,63,59.5,55,61,47,78,30,0,3.64,3.85
27/10/2019,70,61.7,56,60,47,82,28,0.03,3.67,3.85
28/10/2019,62,58.4,54,60,47,83,29,1.38,5.05,3.85
29/10/2019,58,55.9,53,60,46,78,31,0,5.05,3.85
30/10/2019,60,58.6,56,59,46,82,31,0.1,5.15,3.85
31/10/2019,67,63.3,59,59,46,81,29,0.3,5.45,3.85
01/09/2019,77,71.6,66,80,66,97,51,0,0,4.23
02/09/2019,78,73.8,70,80,66,102,51,0,0,4.23
03/09/2019,81,74.8,69,80,65,99,50,0.51,0.51,4.23
04/09/2019,89,78.1,70,79,65,97,47,0,0.51,4.23
05/09/2019,73,69.9,66,79,64,94,51,0,0.51,4.23
06/09/2019,69,65.1,61,79,64,97,48,0,0.51,4.23
07/09/2019,77,67.5,58,78,64,101,46,0.03,0.54,4.23
08/09/2019,79,72,67,78,64,97,52,0,0.54,4.23
09/09/2019,75,70.8,67,78,63,94,48,0,0.54,4.23
10/09/2019,77,72.1,68,77,63,97,43,0,0.54,4.23
11/09/2019,91,78.9,71,77,63,99,43,0,0.54,4.23
12/09/2019,83,73.8,64,77,62,94,46,0,0.54,4.23
13/09/2019,72,65,60,76,62,94,46,0.07,0.61,4.23
14/09/2019,75,70.8,63,76,62,93,46,0,0.61,4.23
15/09/2019,84,76.1,71,76,61,92,44,0,0.61,4.23
16/09/2019,76,73.4,71,75,61,93,47,0,0.61,4.23
17/09/2019,77,70,63,75,61,93,45,0,0.61,4.23
18/09/2019,68,63.9,59,75,60,91,44,0,0.61,4.23
19/09/2019,70,62,54,74,60,94,44,0,0.61,4.23
20/09/2019,79,70.3,60,74,59,93,44,0,0.61,4.23
21/09/2019,85,73.5,63,73,59,95,40,0,0.61,4.23
22/09/2019,85,77.2,69,73,59,95,41,0,0.61,4.23
23/09/2019,90,80.8,72,73,58,97,41,0,0.61,4.23
24/09/2019,76,72.2,67,72,58,91,40,0.03,0.64,4.23
25/09/2019,79,70.5,62,72,57,90,40,0,0.64,4.23
26/09/2019,82,71.6,67,71,57,91,42,0,0.64,4.23
27/09/2019,77,68.7,64,71,57,90,41,0,0.64,4.23
28/09/2019,80,73.4,67,70,56,88,41,0,0.64,4.23
29/09/2019,79,74,67,70,56,88,42,0,0.64,4.23
30/09/2019,69,65.4,61,70,55,89,39,0,0.64,4.23
01/08/2019,87,80.2,73,84,69,100,59,0.58,0.58,4.22
02/08/2019,86,78.4,74,84,69,100,58,0,0.58,4.22
03/08/2019,86,79.7,70,84,69,97,55,0,0.58,4.22
04/08/2019,87,78.8,71,84,69,100,56,0.12,0.7,4.22
05/08/2019,81,76.1,71,84,69,101,56,0,0.7,4.22
06/08/2019,82,75.3,72,84,69,97,57,0,0.7,4.22
07/08/2019,84,77.2,71,84,69,104,57,0,0.7,4.22
08/08/2019,91,77.2,71,84,69,99,54,0.62,1.32,4.22
09/08/2019,85,78.3,72,84,69,103,57,0.1,1.42,4.22
10/08/2019,82,76.1,70,83,69,98,55,0,1.42,4.22
11/08/2019,82,75.6,68,83,69,102,56,0,1.42,4.22
12/08/2019,88,80.2,73,83,68,97,55,0,1.42,4.22
13/08/2019,80,77.8,76,83,68,99,55,0.01,1.43,4.22
14/08/2019,82,75.9,72,83,68,99,54,0.01,1.44,4.22
15/08/2019,84,75.7,72,83,68,97,54,0,1.44,4.22
16/08/2019,81,75.2,70,83,68,96,55,0,1.44,4.22
17/08/2019,85,76.9,73,83,68,95,56,0,1.44,4.22
18/08/2019,90,80.2,75,83,68,94,55,0.16,1.6,4.22
19/08/2019,92,83,75,83,68,94,55,0.43,2.03,4.22
20/08/2019,88,81.7,76,82,68,97,55,0,2.03,4.22
21/08/2019,90,81.8,78,82,68,96,53,0,2.03,4.22
22/08/2019,92,80.7,72,82,67,95,52,0.35,2.38,4.22
23/08/2019,75,72.6,67,82,67,92,51,1.18,3.56,4.22
24/08/2019,75,70.7,65,82,67,94,52,0.06,3.62,4.22
25/08/2019,76,70.5,66,82,67,95,52,0,3.62,4.22
26/08/2019,73,67,61,81,67,103,53,0,3.62,4.22
27/08/2019,76,69.4,65,81,67,101,50,0,3.62,4.22
28/08/2019,76,71.3,69,81,66,100,50,0,3.62,4.22
29/08/2019,83,75.7,69,81,66,99,50,0.1,3.72,4.22
30/08/2019,88,79.6,70,81,66,98,50,0,3.72,4.22
31/08/2019,81,75.8,71,80,66,100,50,0,3.72,4.22
01/07/2019,86,77.6,68,83,68,100,52,0.02,0.02,4.62
02/07/2019,88,81,75,83,68,100,56,0,0.02,4.62
03/07/2019,86,81.3,76,83,68,103,54,0.01,0.03,4.62
04/07/2019,91,80.8,71,84,68,102,55,0,0.03,4.62
05/07/2019,85,78.8,72,84,68,101,53,0,0.03,4.62
06/07/2019,92,83,77,84,68,103,54,0,0.03,4.62
07/07/2019,85,78.6,74,84,68,100,56,0,0.03,4.62
08/07/2019,81,74.6,70,84,69,100,56,0,0.03,4.62
09/07/2019,89,80.7,72,84,69,106,54,0.02,0.05,4.62
10/07/2019,90,83.2,76,84,69,102,55,0,0.05,4.62
11/07/2019,86,78.5,75,84,69,98,57,0,0.05,4.62
12/07/2019,88,78.9,74,84,69,99,57,0.72,0.77,4.62
13/07/2019,89,80.3,72,84,69,101,54,0,0.77,4.62
14/07/2019,91,84.3,79,84,69,100,58,0,0.77,4.62
15/07/2019,88,80.4,72,84,69,102,57,0,0.77,4.62
16/07/2019,93,83.6,73,84,69,99,56,0,0.77,4.62
17/07/2019,94,83.7,73,84,69,100,57,0,0.77,4.62
18/07/2019,78,75,72,84,69,101,57,2.69,3.46,4.62
19/07/2019,94,80.5,71,84,69,102,57,0.3,3.76,4.62
20/07/2019,98,91.5,84,84,69,101,55,0,3.76,4.62
21/07/2019,99,91.1,85,84,69,104,55,0,3.76,4.62
22/07/2019,89,80.7,74,84,69,104,55,0.01,3.77,4.62
23/07/2019,76,71.8,68,84,69,100,58,1.76,5.53,4.62
24/07/2019,85,76.5,70,84,69,97,56,0.02,5.55,4.62
25/07/2019,85,78.5,72,84,69,97,57,0,5.55,4.62
26/07/2019,86,79.8,72,84,69,98,55,0,5.55,4.62
27/07/2019,86,80.3,75,84,69,98,55,0,5.55,4.62
28/07/2019,92,84.3,76,84,69,97,57,0,5.55,4.62
29/07/2019,93,86.1,78,84,69,99,59,0,5.55,4.62
30/07/2019,94,86.8,81,84,69,98,57,0,5.55,4.62
31/07/2019,90,79.3,72,84,69,102,57,0,5.55,4.62
01/06/2019,79,69.8,63,75,59,96,44,0,0,3.84
02/06/2019,83,70.1,63,76,59,96,48,0,0,3.84
03/06/2019,71,65.6,60,76,60,95,45,0.39,0.39,3.84
04/06/2019,73,65.4,57,76,60,99,48,0,0.39,3.84
05/06/2019,81,72.9,66,76,60,99,47,0,0.39,3.84
06/06/2019,82,76.2,71,77,61,98,47,0.05,0.44,3.84
07/06/2019,80,71,64,77,61,96,47,0,0.44,3.84
08/06/2019,80,70.8,64,77,61,95,47,0,0.44,3.84
09/06/2019,78,67.5,61,78,62,97,47,0,0.44,3.84
10/06/2019,70,63.8,60,78,62,96,49,0,0.44,3.84
11/06/2019,76,69.6,64,78,62,95,46,1.15,1.59,3.84
12/06/2019,74,67.4,62,78,63,93,48,0,1.59,3.84
13/06/2019,64,62.3,58,79,63,96,51,0,1.59,3.84
14/06/2019,75,66.1,61,79,63,99,50,0.65,2.24,3.84
15/06/2019,84,74.2,63,79,64,96,48,0,2.24,3.84
16/06/2019,82,75.4,68,80,64,97,52,0.03,2.27,3.84
17/06/2019,75,72.9,70,80,64,96,51,0,2.27,3.84
18/06/2019,75,70.2,66,80,65,95,48,0.1,2.37,3.84
19/06/2019,71,67.3,64,80,65,98,52,0.53,2.9,3.84
20/06/2019,78,69.9,62,81,65,98,49,0.09,2.99,3.84
21/06/2019,77,69.7,65,81,65,97,49,1.27,4.26,3.84
22/06/2019,79,72.3,63,81,66,98,52,0.15,4.41,3.84
23/06/2019,86,76.6,67,81,66,96,49,0,4.41,3.84
24/06/2019,86,78,70,82,66,96,52,0,4.41,3.84
25/06/2019,85,76.4,73,82,66,99,54,0.39,4.8,3.84
26/06/2019,90,78.5,69,82,67,100,56,0.03,4.83,3.84
27/06/2019,89,82.1,73,82,67,101,55,0,4.83,3.84
28/06/2019,92,82.6,73,83,67,96,54,0,4.83,3.84
29/06/2019,93,82.3,76,83,67,101,52,0,4.83,3.84
30/06/2019,83,77.5,72,83,67,99,53,0.04,4.87,3.84
01/05/2019,54,50.9,48,67,50,87,35,0,0,4.69
02/05/2019,70,54.9,46,67,50,90,37,0.01,0.01,4.69
03/05/2019,52,50,48,67,50,92,37,0,0.01,4.69
04/05/2019,66,54.7,50,68,50,92,38,0.18,0.19,4.69
05/05/2019,55,51.5,49,68,51,90,34,0.65,0.84,4.69
06/05/2019,66,55.3,49,68,51,92,32,0.69,1.53,4.69
07/05/2019,64,57.5,52,68,51,93,37,0,1.53,4.69
08/05/2019,67,59.3,55,69,52,91,37,0.06,1.59,4.69
09/05/2019,59,55.4,52,69,52,94,35,0,1.59,4.69
10/05/2019,73,63.8,56,69,52,94,36,0.01,1.6,4.69
11/05/2019,70,63.1,57,70,52,92,36,0.04,1.64,4.69
12/05/2019,59,49,45,70,53,93,40,0.42,2.06,4.69
13/05/2019,49,46.6,42,70,53,89,39,0.81,2.87,4.69
14/05/2019,50,47.1,44,70,53,88,40,0.58,3.45,4.69
15/05/2019,67,55.5,47,71,54,90,42,0.21,3.66,4.69
16/05/2019,73,64.1,56,71,54,90,42,0.1,3.76,4.69
17/05/2019,78,70.4,63,71,54,92,39,0,3.76,4.69
18/05/2019,74,64.5,59,71,55,92,41,0.03,3.79,4.69
19/05/2019,75,67.4,60,72,55,99,38,0,3.79,4.69
20/05/2019,88,76.7,65,72,55,96,43,0.03,3.82,4.69
21/05/2019,71,64.5,58,72,55,93,40,0,3.82,4.69
22/05/2019,76,66.3,58,72,56,96,44,0,3.82,4.69
23/05/2019,74,66.6,58,73,56,94,43,0.36,4.18,4.69
24/05/2019,73,69.6,64,73,56,93,39,0.12,4.3,4.69
25/05/2019,70,63.2,57,73,57,95,41,0,4.3,4.69
26/05/2019,88,73.8,61,74,57,95,42,0,4.3,4.69
27/05/2019,80,73.8,66,74,57,96,41,0.25,4.55,4.69
28/05/2019,73,67.4,62,74,58,94,43,0,4.55,4.69
29/05/2019,67,59.6,57,74,58,97,43,0.19,4.74,4.69
30/05/2019,67,61.5,56,75,58,97,42,0.83,5.57,4.69
31/05/2019,81,70.5,62,75,59,96,46,0.8,6.37,4.69
01/04/2019,45,39.9,34,56,40,83,12,0.08,0.08,4.28
02/04/2019,49,43.6,38,56,40,81,22,0,0.08,4.28
03/04/2019,67,51.6,41,56,41,81,24,0,0.08,4.28
04/04/2019,58,50.5,44,57,41,80,23,0,0.08,4.28
05/04/2019,45,39.8,39,57,41,80,21,0,0.08,4.28
06/04/2019,66,49,39,58,42,79,21,0.23,0.31,4.28
07/04/2019,63,55.4,47,58,42,92,21,0,0.31,4.28
08/04/2019,78,57.3,47,58,42,90,25,0.25,0.56,4.28
09/04/2019,50,45.9,43,59,43,86,25,0,0.56,4.28
10/04/2019,58,51.1,45,59,43,86,28,0.02,0.58,4.28
11/04/2019,51,45.1,40,60,43,84,24,0,0.58,4.28
12/04/2019,66,53.1,45,60,44,90,25,0,0.58,4.28
13/04/2019,74,63.6,58,60,44,88,26,0.76,1.34,4.28
14/04/2019,68,60.7,55,61,44,85,26,0,1.34,4.28
15/04/2019,62,55.1,45,61,45,87,28,0.6,1.94,4.28
16/04/2019,62,52.7,44,62,45,92,29,0.18,2.12,4.28
17/04/2019,59,52.5,47,62,45,96,30,0.01,2.13,4.28
18/04/2019,63,55.4,51,62,46,96,30,0,2.13,4.28
19/04/2019,75,62.7,55,63,46,92,29,0,2.13,4.28
20/04/2019,63,59.6,54,63,46,90,24,0.33,2.46,4.28
21/04/2019,63,56.7,53,63,47,87,32,0.35,2.81,4.28
22/04/2019,60,55.1,50,64,47,86,33,0,2.81,4.28
23/04/2019,74,62.4,55,64,47,86,32,0.29,3.1,4.28
24/04/2019,67,63.4,57,64,48,87,31,0.11,3.21,4.28
25/04/2019,62,54.5,49,65,48,91,29,0,3.21,4.28
26/04/2019,59,53.5,51,65,48,92,31,0.21,3.42,4.28
27/04/2019,57,53.3,48,65,48,92,36,1.01,4.43,4.28
28/04/2019,52,49.6,47,66,49,90,34,0,4.43,4.28
29/04/2019,57,50.2,44,66,49,89,34,0,4.43,4.28
30/04/2019,55,50.4,48,66,49,91,34,0.07,4.5,4.28
01/03/2019,34,29.9,26,45,31,73,5,0.09,0.09,4.37
02/03/2019,40,34.6,30,45,32,72,9,0.41,0.5,4.37
03/03/2019,41,36,32,45,32,65,11,0.05,0.55,4.37
04/03/2019,38,34.1,29,46,32,70,7,0.84,1.39,4.37
05/03/2019,31,26.7,21,46,32,72,3,0,1.39,4.37
06/03/2019,26,22.7,19,46,32,68,6,0,1.39,4.37
07/03/2019,32,25.7,19,47,33,74,7,0,1.39,4.37
08/03/2019,37,32,24,47,33,76,8,0,1.39,4.37
09/03/2019,47,39.3,34,47,33,77,11,0,1.39,4.37
10/03/2019,45,38.3,34,48,33,79,12,0.3,1.69,4.37
11/03/2019,52,46.9,39,48,34,73,14,0.36,2.05,4.37
12/03/2019,42,37.5,34,48,34,71,8,0,2.05,4.37
13/03/2019,45,38.7,33,49,34,85,6,0,2.05,4.37
14/03/2019,57,47.7,41,49,35,75,15,0,2.05,4.37
15/03/2019,71,57.5,48,49,35,77,14,0,2.05,4.37
16/03/2019,56,46.1,37,50,35,82,13,0.27,2.32,4.37
17/03/2019,45,38.2,34,50,35,75,9,0,2.32,4.37
18/03/2019,46,39.2,33,50,36,77,7,0,2.32,4.37
19/03/2019,48,41.8,36,51,36,76,8,0,2.32,4.37
20/03/2019,51,44.2,38,51,36,83,11,0,2.32,4.37
21/03/2019,45,41.6,40,51,37,84,10,0,2.32,4.37
22/03/2019,48,43.3,38,52,37,78,12,1.16,3.48,4.37
23/03/2019,47,40.7,35,52,37,76,12,0.06,3.54,4.37
24/03/2019,60,50.5,39,52,37,76,12,0,3.54,4.37
25/03/2019,57,49.8,42,53,38,79,13,0,3.54,4.37
26/03/2019,48,40.9,33,53,38,76,20,0,3.54,4.37
27/03/2019,44,38.8,34,54,38,83,20,0,3.54,4.37
28/03/2019,50,44,37,54,39,84,13,0,3.54,4.37
29/03/2019,59,53.2,47,54,39,86,10,0,3.54,4.37
30/03/2019,63,54.6,46,55,39,82,16,0,3.54,4.37
31/03/2019,59,50.5,41,55,40,86,14,0,3.54,4.37
01/02/2019,22,17.3,12,39,27,67,-2,0,0,3.15
02/02/2019,35,26.8,18,39,27,59,-3,0,0,3.15
03/02/2019,52,40.7,32,39,27,64,0,0,0,3.15
04/02/2019,58,46.7,38,40,28,68,0,0,0,3.15
05/02/2019,64,50.3,38,40,28,70,-6,0,0,3.15
06/02/2019,44,40,35,40,28,68,-4,0,0,3.15
07/02/2019,43,41.4,37,40,28,54,1,0.56,0.56,3.15
08/02/2019,54,43.3,33,40,28,62,-7,0.33,0.89,3.15
09/02/2019,32,28.5,24,40,28,63,-15,0.07,0.96,3.15
10/02/2019,35,30.3,24,41,28,61,-6,0,0.96,3.15
11/02/2019,37,34.2,31,41,28,65,-2,0,0.96,3.15
12/02/2019,36,30.5,26,41,28,62,-3,0,0.96,3.15
13/02/2019,41,36.3,34,41,29,64,-1,0.76,1.72,3.15
14/02/2019,45,38.9,33,41,29,63,-1,0,1.72,3.15
15/02/2019,55,47.9,41,42,29,73,-8,0,1.72,3.15
16/02/2019,44,38.2,32,42,29,71,1,0,1.72,3.15
17/02/2019,36,32.1,26,42,29,67,-5,0,1.72,3.15
18/02/2019,41,34.1,27,42,29,68,0,0.13,1.85,3.15
19/02/2019,36,29.4,24,42,30,66,1,0.01,1.86,3.15
20/02/2019,32,28.4,26,43,30,69,2,0,1.86,3.15
21/02/2019,51,39.5,32,43,30,78,4,0.73,2.59,3.15
22/02/2019,43,40,37,43,30,69,8,0,2.59,3.15
23/02/2019,38,35.9,32,43,30,70,5,0,2.59,3.15
24/02/2019,47,40.6,35,44,30,75,-4,0.51,3.1,3.15
25/02/2019,43,37.4,28,44,31,75,1,0.22,3.32,3.15
26/02/2019,36,29.2,25,44,31,65,7,0,3.32,3.15
27/02/2019,29,26.1,23,44,31,72,5,0,3.32,3.15
28/02/2019,35,29.9,27,45,31,67,5,0.03,3.35,3.15
01/01/2019,60,51,41,39,28,62,-4,1.39,1.39,4.13
02/01/2019,41,37.7,35,39,28,68,2,0,1.39,4.13
03/01/2019,45,41.9,39,39,28,64,-4,0,1.39,4.13
04/01/2019,47,42.4,37,39,27,66,-3,0,1.39,4.13
05/01/2019,47,43.9,42,38,27,64,-4,0.23,1.62,4.13
06/01/2019,49,42.6,32,38,27,72,-2,0.22,1.84,4.13
07/01/2019,35,29.8,26,38,27,64,4,0,1.84,4.13
08/01/2019,46,42.6,36,38,27,65,2,0.07,1.91,4.13
09/01/2019,46,42.5,35,38,27,64,-1,0.21,2.12,4.13
10/01/2019,35,32.9,30,38,27,60,-3,0,2.12,4.13
11/01/2019,31,26.6,22,38,27,63,3,0,2.12,4.13
12/01/2019,34,28.1,22,38,27,66,2,0,2.12,4.13
13/01/2019,33,29.2,25,38,27,68,-3,0,2.12,4.13
14/01/2019,33,27.7,22,38,27,70,-5,0,2.12,4.13
15/01/2019,35,30.8,26,38,27,67,0,0,2.12,4.13
16/01/2019,40,35.4,31,38,27,58,1,0,2.12,4.13
17/01/2019,33,29.7,26,38,27,63,-2,0,2.12,4.13
18/01/2019,40,34,28,38,27,66,0,0.03,2.15,4.13
19/01/2019,37,35.3,33,38,27,64,-2,0,2.15,4.13
20/01/2019,40,33.3,16,38,27,61,0,1.14,3.29,4.13
21/01/2019,15,11.6,6,38,27,63,-2,0.2,3.49,4.13
22/01/2019,31,23.4,14,38,27,61,0,0,3.49,4.13
23/01/2019,46,37.8,30,38,27,63,-3,0,3.49,4.13
24/01/2019,57,50,35,38,27,68,-6,0.08,3.57,4.13
25/01/2019,39,35.4,29,38,27,60,2,1.4,4.97,4.13
26/01/2019,34,30.1,25,39,27,72,2,0,4.97,4.13
27/01/2019,49,40,30,39,27,69,-1,0,4.97,4.13
28/01/2019,38,29.3,25,39,27,66,-2,0,4.97,4.13
29/01/2019,44,35.4,26,39,27,69,0,0,4.97,4.13
30/01/2019,35,23.6,7,39,27,64,-1,0.27,5.24,4.13
31/01/2019,16,10.5,4,39,27,63,-1,0,5.24,4.13
